group,crate,size_label,size_bytes,mean_ms,stddev_ms,median_ms,throughput_mib_per_s
yaml_parse,serde_saphyr (budget=max),1MiB,1048576,10.872,0.027,10.867,91.98
yaml_parse,serde_saphyr (budget=none),1MiB,1048576,10.767,0.052,10.754,92.88
yaml_parse,serde_yaml,1MiB,1048576,14.7,0.352,14.645,68.03
yaml_parse,serde_yaml_bw,1MiB,1048576,18.192,0.088,18.175,54.97
yaml_parse,serde_yaml_norway,1MiB,1048576,14.746,0.052,14.733,67.82
yaml_parse,serde_yml,1MiB,1048576,16.025,0.061,16.01,62.4
yaml_parse,serde_saphyr (budget=max),5MiB,5242880,54.881,0.26,54.835,91.11
yaml_parse,serde_saphyr (budget=none),5MiB,5242880,54.447,0.147,54.423,91.83
yaml_parse,serde_yaml,5MiB,5242880,76.954,0.312,76.898,64.97
yaml_parse,serde_yaml_bw,5MiB,5242880,97.656,0.347,97.607,51.2
yaml_parse,serde_yaml_norway,5MiB,5242880,77.499,0.469,77.361,64.52
yaml_parse,serde_yml,5MiB,5242880,83.586,0.207,83.565,59.82
yaml_parse,serde_saphyr (budget=max),10MiB,10485760,110.043,0.242,110.01,90.87
yaml_parse,serde_saphyr (budget=none),10MiB,10485760,109.19,0.363,109.085,91.58
yaml_parse,serde_yaml,10MiB,10485760,157.237,0.393,157.179,63.6
yaml_parse,serde_yaml_bw,10MiB,10485760,206.69,5.534,210.397,48.38
yaml_parse,serde_yaml_norway,10MiB,10485760,155.982,0.619,155.808,64.11
yaml_parse,serde_yml,10MiB,10485760,168.281,0.338,168.237,59.42
yaml_parse,serde_saphyr (budget=max),25MiB,26214400,276.449,0.562,276.329,90.43
yaml_parse,serde_saphyr (budget=none),25MiB,26214400,273.989,0.555,273.87,91.24
yaml_parse,serde_yaml,25MiB,26214400,411.323,1.763,410.791,60.78
yaml_parse,serde_yaml_bw,25MiB,26214400,541.225,2.242,540.814,46.19
yaml_parse,serde_yaml_norway,25MiB,26214400,410.135,0.848,409.927,60.96
yaml_parse,serde_yml,25MiB,26214400,441.93,2.569,441.231,56.57
yaml_parse,serde_saphyr (budget=max),50MiB,52428800,554.132,1.236,553.984,90.23
yaml_parse,serde_saphyr (budget=none),50MiB,52428800,549.378,0.994,549.154,91.01
yaml_parse,serde_yaml,50MiB,52428800,821.425,1.676,820.988,60.87
yaml_parse,serde_yaml_bw,50MiB,52428800,1051.392,2.846,1051.335,47.56
yaml_parse,serde_yaml_norway,50MiB,52428800,790.336,4.612,789.109,63.26
yaml_parse,serde_yml,50MiB,52428800,851.506,2.909,850.886,58.72
